participant_id,split,video_name,label,frame_count
1048,trainval,q_10_main,0,30
1048,trainval,q_11_main,0,29
1048,trainval,q_12_main,1,30
1048,trainval,q_13_main,0,30
1048,trainval,q_14_main,0,29
1048,trainval,q_15_main,1,28
1048,trainval,q_16_main,1,30
1048,trainval,q_17_main,1,28
1048,trainval,q_18_main,0,29
1048,trainval,q_19_main,0,29
1048,trainval,q_1_main,0,29
1048,trainval,q_20_main,0,29
1048,trainval,q_21_main,1,29
1048,trainval,q_22_main,0,27
1048,trainval,q_23_main,0,29
1048,trainval,q_24_main,0,29
1048,trainval,q_25_main,0,29
1048,trainval,q_26_main,0,29
1048,trainval,q_27_main,0,28
1048,trainval,q_28_main,1,30
1048,trainval,q_29_main,0,30
1048,trainval,q_2_main,1,29
1048,trainval,q_30_main,0,29
1048,trainval,q_3_main,1,29
1048,trainval,q_4_main,1,29
1048,trainval,q_5_main,0,30
1048,trainval,q_6_main,1,30
1048,trainval,q_7_main,1,29
1048,trainval,q_8_main,0,30
1048,trainval,q_9_main,0,28
1251,trainval,q_10_main,0,30
1251,trainval,q_11_main,1,29
1251,trainval,q_12_main,1,30
1251,trainval,q_13_main,1,30
1251,trainval,q_14_main,0,29
1251,trainval,q_15_main,1,29
1251,trainval,q_16_main,1,29
1251,trainval,q_17_main,0,29
1251,trainval,q_18_main,0,30
1251,trainval,q_19_main,0,29
1251,trainval,q_1_main,0,30
1251,trainval,q_20_main,0,30
1251,trainval,q_21_main,0,30
1251,trainval,q_22_main,0,30
1251,trainval,q_23_main,1,29
1251,trainval,q_24_main,0,30
1251,trainval,q_25_main,0,30
1251,trainval,q_26_main,1,29
1251,trainval,q_27_main,0,30
1251,trainval,q_28_main,0,30
1251,trainval,q_29_main,0,29
1251,trainval,q_2_main,1,30
1251,trainval,q_30_main,0,29
1251,trainval,q_3_main,0,29
1251,trainval,q_4_main,1,28
1251,trainval,q_5_main,0,29
1251,trainval,q_6_main,1,29
1251,trainval,q_7_main,1,30
1251,trainval,q_8_main,0,29
1251,trainval,q_9_main,1,29
