participant_id,split,video_name,label,duration_s
1001,trainval,QID106,1,15.53
1001,trainval,QID119,1,10.73
1001,trainval,QID130,1,23.93
1001,trainval,QID160,1,24.93
1001,trainval,QID196,1,10.4
1001,trainval,QID214,1,22.07
1001,trainval,QID220,1,19.07
1001,trainval,QID226,1,12.2
1001,trainval,QID244,1,13.2
1001,trainval,QID262,1,14.27
1001,trainval,QID268,1,16.53
1001,trainval,QID304,1,13.87
1001,trainval,QID322,1,17.4
1001,trainval,QID346,1,16.53
1001,trainval,QID382,1,23.53
1001,trainval,QID394,1,17.2
1001,trainval,QID406,1,11.27
1001,trainval,QID418,1,11.07
1001,trainval,QID430,1,25.0
1001,trainval,QID466,1,13.53
1001,trainval,QID609,1,19.67
1001,trainval,QID616,1,17.93
1001,trainval,QID623,1,13.0
1001,trainval,QID651,1,13.4
1001,trainval,QID658,1,13.87
1001,trainval,QID679,1,6.13
1001,trainval,QID686,0,21.53
1001,trainval,QID700,0,25.8
1001,trainval,QID707,0,33.67
1001,trainval,QID714,0,11.0
1001,trainval,QID721,0,11.07
1115,trainval,QID106,1,12.07
1115,trainval,QID119,1,9.7
1115,trainval,QID130,1,23.0
1115,trainval,QID160,1,23.87
1115,trainval,QID196,1,9.53
1115,trainval,QID214,1,22.63
1115,trainval,QID220,1,15.07
1115,trainval,QID226,1,11.27
1115,trainval,QID244,1,14.57
1115,trainval,QID262,1,9.93
1115,trainval,QID268,1,16.03
1115,trainval,QID274,1,21.1
1115,trainval,QID286,1,19.4
1115,trainval,QID304,1,12.97
1115,trainval,QID310,1,8.73
1115,trainval,QID322,1,17.77
1115,trainval,QID346,1,14.9
1115,trainval,QID382,1,22.3
1115,trainval,QID388,1,21.97
1115,trainval,QID394,1,16.5
1115,trainval,QID406,1,10.5
1115,trainval,QID418,1,10.3
1115,trainval,QID430,1,25.1
1115,trainval,QID460,1,17.13
1115,trainval,QID466,1,12.67
1115,trainval,QID609,1,19.33
1115,trainval,QID616,1,17.6
1115,trainval,QID623,1,17.03
1115,trainval,QID637,1,9.43
1115,trainval,QID651,1,12.27
1115,trainval,QID658,1,13.8
1115,trainval,QID679,1,6.17
1115,trainval,QID686,0,21.6
1115,trainval,QID700,0,25.87
1115,trainval,QID707,0,33.73
1115,trainval,QID714,0,10.03
1115,trainval,QID721,0,10.07
1290,trainval,QID106,1,10.8
1290,trainval,QID119,1,7.7
1290,trainval,QID160,1,23.87
1290,trainval,QID178,1,13.07
1290,trainval,QID190,1,15.5
1290,trainval,QID196,1,9.47
1290,trainval,QID214,1,19.03
1290,trainval,QID220,1,15.07
1290,trainval,QID226,1,11.3
1290,trainval,QID238,1,13.97
1290,trainval,QID244,1,13.27
1290,trainval,QID256,1,11.63
1290,trainval,QID262,1,9.9
1290,trainval,QID268,1,12.27
1290,trainval,QID286,1,15.5
1290,trainval,QID304,1,9.83
1290,trainval,QID310,1,8.7
1290,trainval,QID322,1,13.0
1290,trainval,QID346,1,14.97
1290,trainval,QID382,1,22.33
1290,trainval,QID388,1,21.03
1290,trainval,QID394,1,12.07
1290,trainval,QID406,1,10.47
1290,trainval,QID418,1,10.57
1290,trainval,QID430,1,25.1
1290,trainval,QID436,1,10.73
1290,trainval,QID460,1,10.63
1290,trainval,QID466,1,9.47
1290,trainval,QID609,1,15.8
1290,trainval,QID616,1,13.83
1290,trainval,QID623,1,13.07
1290,trainval,QID630,1,15.47
1290,trainval,QID637,1,8.37
1290,trainval,QID651,1,12.27
1290,trainval,QID658,1,9.03
1290,trainval,QID665,1,11.63
1290,trainval,QID672,1,9.9
1290,trainval,QID679,1,6.33
1290,trainval,QID686,0,21.6
1290,trainval,QID700,0,25.83
1290,trainval,QID707,0,33.77
1290,trainval,QID714,0,10.0
1290,trainval,QID721,0,9.17
1402,trainval,QID106,1,12.97
1402,trainval,QID119,1,8.0
1402,trainval,QID130,1,23.3
1402,trainval,QID160,1,24.2
1402,trainval,QID178,1,18.4
1402,trainval,QID196,1,9.77
1402,trainval,QID214,1,19.4
1402,trainval,QID220,1,18.4
1402,trainval,QID226,1,11.57
1402,trainval,QID244,1,13.57
1402,trainval,QID262,1,13.23
1402,trainval,QID268,1,13.97
1402,trainval,QID274,1,18.43
1402,trainval,QID286,1,19.3
1402,trainval,QID304,1,13.67
1402,trainval,QID310,1,9.97
1402,trainval,QID322,1,16.1
1402,trainval,QID346,1,15.2
1402,trainval,QID382,1,22.63
1402,trainval,QID388,1,21.33
1402,trainval,QID394,1,15.63
1402,trainval,QID406,1,10.73
1402,trainval,QID418,1,10.67
1402,trainval,QID430,1,25.4
1402,trainval,QID466,1,9.63
1402,trainval,QID609,1,17.37
1402,trainval,QID616,1,15.67
1402,trainval,QID623,1,14.97
1402,trainval,QID630,1,19.83
1402,trainval,QID637,1,8.67
1402,trainval,QID651,1,12.57
1402,trainval,QID658,1,9.63
1402,trainval,QID679,1,6.57
1402,trainval,QID686,0,21.97
1402,trainval,QID700,0,26.13
1402,trainval,QID707,0,34.0
1402,trainval,QID714,0,11.6
1402,trainval,QID721,0,10.93
1447,trainval,QID106,1,12.5
1447,trainval,QID119,1,7.63
1447,trainval,QID130,1,24.13
1447,trainval,QID160,1,23.83
1447,trainval,QID178,1,13.57
1447,trainval,QID190,1,15.43
1447,trainval,QID196,1,10.77
1447,trainval,QID214,1,19.03
1447,trainval,QID220,1,15.03
1447,trainval,QID226,1,11.3
1447,trainval,QID238,1,14.0
1447,trainval,QID244,1,13.23
1447,trainval,QID256,1,11.6
1447,trainval,QID262,1,10.1
1447,trainval,QID268,1,12.2
1447,trainval,QID274,1,14.13
1447,trainval,QID286,1,15.43
1447,trainval,QID304,1,9.8
1447,trainval,QID310,1,8.9
1447,trainval,QID322,1,12.97
1447,trainval,QID346,1,15.37
1447,trainval,QID382,1,22.23
1447,trainval,QID388,1,22.17
1447,trainval,QID394,1,12.07
1447,trainval,QID406,1,10.4
1447,trainval,QID418,1,10.27
1447,trainval,QID430,1,25.03
1447,trainval,QID436,1,10.7
1447,trainval,QID460,1,10.57
1447,trainval,QID466,1,9.7
1447,trainval,QID609,1,15.8
1447,trainval,QID616,1,13.63
1447,trainval,QID623,1,12.97
1447,trainval,QID630,1,15.43
1447,trainval,QID637,1,8.37
1447,trainval,QID651,1,12.2
1447,trainval,QID658,1,10.23
1447,trainval,QID665,1,11.53
1447,trainval,QID672,1,10.03
1447,trainval,QID679,1,6.13
1447,trainval,QID686,0,21.57
1447,trainval,QID700,0,25.83
1447,trainval,QID707,0,33.67
1447,trainval,QID714,0,10.47
1447,trainval,QID721,0,9.2
1674,trainval,QID119,1,8.93
1674,trainval,QID130,1,25.83
1674,trainval,QID160,1,23.93
1674,trainval,QID196,1,11.23
1674,trainval,QID226,1,11.63
1674,trainval,QID256,1,18.53
